#,name,batch,date_announced,link,description,type,career_stage,personal_links,personal_info,mr_posts,project_links,,,Categories
52,Mehdi Nayebpour,5,2019-09-05,marginalrevolution.com/marginalrevolution/2019/09/emergent-ventures-winners-fifth-cohort.html,"GMU, Schar School, “How can we explain a specific AI outcome? What if the law mandates it?”, with an eye toward an eventual start-up.",Research,,linkedin.com/in/mehdi-nayebpour-51013935/,researchgate.net/profile/Mehdi_Nayebpour2,-,researchgate.net/profile/Mehdi-Nayebpour-2,,,
53,Colin Mortimer,5,2019-09-05,marginalrevolution.com/marginalrevolution/2019/09/emergent-ventures-winners-fifth-cohort.html,"Washington, D.C., for career development and to explore the marketing of neoliberal ideas through social media.",Career development,Middle,twitter.com/colinmort?lang=en ,,-,twitter.com/colinmort?lang=en,,,
54,Shruti Rajagopalan,5,2019-09-05,marginalrevolution.com/marginalrevolution/2019/09/emergent-ventures-winners-fifth-cohort.html,"Shruti Rajagopalan, for Indian political economy and improving Indian economic policy, in residence at Mercatus.",Career development,Middle,"linkedin.com/in/shruti-rajagopalan-3b9228202/ 
twitter.com/srajagopalan",shrutiraj.com/cv-and-bio/,"marginalrevolution.com/marginalrevolution/2020/03/shruti-rajagopalan-on-india-and-the-coronavirus.html
marginalrevolution.com/marginalrevolution/2017/08/shruti-rajagopalan-proposal-gender-issues.html
marginalrevolution.com/marginalrevolution/2019/08/shruti-rajagopalan-update.html
marginalrevolution.com/marginalrevolution/2020/07/the-seen-and-unseen-rajagopalan-and-tabarrok.html
marginalrevolution.com/marginalrevolution/2021/04/indias-pandemic-and-the-world.html
marginalrevolution.com/marginalrevolution/2019/09/premature-imitation-and-indias-flailing-state.html
marginalrevolution.com/marginalrevolution/2020/08/ideas-of-india.html
marginalrevolution.com/marginalrevolution/2020/04/emergent-ventures-india.html
marginalrevolution.com/marginalrevolution/2021/04/cmon-people-listen-to-shruti.html
marginalrevolution.com/marginalrevolution/2021/07/the-public-choice-outreach-conference-3.html
marginalrevolution.com/marginalrevolution/2021/07/the-1991-project.html
marginalrevolution.com/marginalrevolution/2021/01/lessons-from-2020.html
marginalrevolution.com/marginalrevolution/2021/05/thursday-assorted-links-306.html
marginalrevolution.com/marginalrevolution/2021/03/india-should-embrace-not-ban-crypto.html
marginalrevolution.com/marginalrevolution/2021/03/chinas-private-city.html
marginalrevolution.com/marginalrevolution/2020/04/pandemic-policy-in-developing-countries-recommendations-for-india.html
marginalrevolution.com/marginalrevolution/2020/08/friday-assorted-links-274.html
marginalrevolution.com/marginalrevolution/tag/state-capacity
marginalrevolution.com/marginalrevolution/2020/12/friday-assorted-links-292.html",twitter.com/srajagopalan?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,
55,Jasmine Wang,5,2019-09-05,marginalrevolution.com/marginalrevolution/2019/09/emergent-ventures-winners-fifth-cohort.html,"20-year-old infovore, career development grant, Twitter here.",Career development,High school,"linkedin.com/in/jasmine-wang/ 
twitter.com/j_asminewang?lang=en ",jasminew.me/about/,"marginalrevolution.com/marginalrevolution/2019/08/monday-assorted-links-218.html
marginalrevolution.com/marginalrevolution/2020/02/tuesday-assorted-links-252.html",twitter.com/j_asminewang?lang=en,,,
56,SpiritFire,5,2019-09-05,marginalrevolution.com/marginalrevolution/2019/09/emergent-ventures-winners-fifth-cohort.html,"A non-profit working with survivors of sexual abuse in the Catholic Church, article here about their work.",Non profit,,"facebook.com/teresa.pittgreen.98
twitter.com/spiritfirespark ",,-,evangelist.org/Content/More-top-stories/More-top-stories/Article/Spirit-Fire-lighting-a-new-flame/3/138/27481,,,
57,Pseudoerasmus,Progress Studies Tranche,2019-11-20,marginalrevolution.com/marginalrevolution/2019/11/progress-studies-tranche-of-emergent-ventures.html,"Pseudoerasmus, for general excellence and his on-line writings on progress and development. He has donated the funds to the Economic History Society.",Writing (Online),,"twitter.com/pseudoerasmus
pseudoerasmus.com",Blog about economic history & comparative development,"marginalrevolution.com/marginalrevolution/2019/09/special-emergent-ventures-tranche-to-study-the-nature-and-causes-of-progress.html
marginalrevolution.com/marginalrevolution/2017/08/what-ive-been-reading-106.html
marginalrevolution.com/marginalrevolution/2016/11/much-tariffs-drive-19th-century-u-s-economic-growth.html
marginalrevolution.com/marginalrevolution/2020/01/the-united-states-as-a-developing-nation.html
marginalrevolution.com/marginalrevolution/2017/11/problems-yugoslavian-socialism.html","pseudoerasmus.com/
twitter.com/pseudoerasmus ",,,
58,Alice Evans,Progress Studies Tranche,2019-11-20,marginalrevolution.com/marginalrevolution/2019/11/progress-studies-tranche-of-emergent-ventures.html,"Alice Evans, Professor, King’s College London, for her work on social change and despondency traps, and podcasting, and general excellence.",Podcast,,"twitter.com/_alice_evans
draliceevans.com/","Professor, Lecturer at King's College London, a Faculty Associate at Harvard CID, with previous appointments at Cambridge and the LSE","marginalrevolution.com/marginalrevolution/2019/10/thursday-assorted-links-229.html
marginalrevolution.com/marginalrevolution/2020/10/why-are-north-and-south-india-so-different-on-gender.html
marginalrevolution.com/marginalrevolution/2020/11/blog-and-substack-contest-winners.html
marginalrevolution.com/marginalrevolution/2021/01/monday-assorted-links-287.html
marginalrevolution.com/marginalrevolution/2021/06/north-vs-south-india.html
marginalrevolution.com/marginalrevolution/2021/05/thursday-assorted-links-306.html
marginalrevolution.com/marginalrevolution/2019/09/saturday-assorted-links-227.html","soundcloud.com/user-845572280
draliceevans.com/",,,
59,Jason Crawford,Progress Studies Tranche,2019-11-20,marginalrevolution.com/marginalrevolution/2019/11/progress-studies-tranche-of-emergent-ventures.html,"Jason Crawford, to boost his writings and career as public intellectual on topics of progress and the benefits of economic growth and industrialism. Here is his blog The Roots of Progress.",Writing (Online),,"linkedin.com/in/jasonc/
twitter.com/jasoncrawford","Writes about the history of technology at The Roots of Progress
. Part-time tech consultant to Our World in Data
. Former tech founder","marginalrevolution.com/marginalrevolution/2019/11/learning-about-the-roots-of-progress-from-the-history-of-smallpox-eradication.html
marginalrevolution.com/marginalrevolution/2021/08/tuesday-assorted-links-329.html?utm_source=rss&utm_medium=rss&utm_campaign=tuesday-assorted-links-329
marginalrevolution.com/marginalrevolution/2010/11/ideas-behind-their-time.html
marginalrevolution.com/marginalrevolution/2021/02/sunday-assorted-links-303.html","rootsofprogress.org/
jasoncrawford.org/",,,
60,Tanner Greer,Progress Studies Tranche,2019-11-20,marginalrevolution.com/marginalrevolution/2019/11/progress-studies-tranche-of-emergent-ventures.html,"Tanner Greer, to help him move from Taiwan to Virginia/GMU, and to write a book on the last twenty years of U.S. history and its significance.",Writing (Book),,twitter.com/Scholars_Stage,"Tanner Greer is an essayist, journalist, and independent researcher. In addition to his work for the Scholar’s Stage and its podcast, his writing has been published by America’s premier foreign policy outlets, its largest conservative magazines, and in various journals of American arts and letters. ",marginalrevolution.com/marginalrevolution/2020/08/sunday-assorted-links-278.html,"twitter.com/scholars_stage?lang=en
scholars-stage.org/ ",,,
61,Adam Green,Progress Studies Tranche,2019-11-20,marginalrevolution.com/marginalrevolution/2019/11/progress-studies-tranche-of-emergent-ventures.html,"Adam Green, budding public intellectual, to study the pre-implantation genetic testing of embryos.",Research,,-,-,-,-,,,
62,Ville Vesterinen,Progress Studies Tranche,2019-11-20,marginalrevolution.com/marginalrevolution/2019/11/progress-studies-tranche-of-emergent-ventures.html,"Ville Vesterinen, Finland, to produce podcasts and YouTube videos on the nature of progress and economic growth.",Podcast,,"linkedin.com/in/villevesterinen/
twitter.com/vesterinen","Ville Vesterinen is a seasoned startup entrepreneur and investor, currently serving as the Chairman of the Board at Swappie. He is also the Co-Founder of Grey Area, Slush, and ArcticStartup.",-,google.com/search?sxsrf=ACYBGNTMkK-pfAAWp3-rGqCR2t63UwWhug%3A1574209110916&ei=VobUXZ2tN6Sc5wLBwY_IDQ&q=Ville+Vesterinen&oq=Ville+Vesterinen&gs_l=psy-ab.3..0i322j0j0i22i30l8.3385.17998..18695...11.0..1.380.1547.5j7j0j1....3..0....1j2..gws-wiz.....10..35i362i39j35i322i362i39j35i322i39j35i39j0i322i273j0i199i291j0i322i131j0i67j0i322i199i175i273j35i322i199i175i39j0i322i199i175j0i322i10j0i10.PSmTKlz6Jpk&ved=0ahUKEwidsO72wfflAhUkzlkKHcHgA9kQ4dUDCAs&uact=5,,,
63,Leopold Aschenbrenner,Progress Studies Tranche,2019-11-20,marginalrevolution.com/marginalrevolution/2019/11/progress-studies-tranche-of-emergent-ventures.html,"Leopold Aschenbrenner, 17 year old economics prodigy, to spend the next summer in the Bay Area and for general career development. Here is his paper on existential risk.",Career development,High school,"linkedin.com/in/leopold-aschenbrenner/
twitter.com/leopoldasch","Research in Economics in Forethought Foundation & Global Priorities Institute (University of Oxford). Columbia '21 Valedictorian.
emergent ventures grant for progress studies 
@Mercatus","marginalrevolution.com/marginalrevolution/2019/09/existential-risk-and-growth.html
marginalrevolution.com/marginalrevolution/2020/10/stagnation-is-the-real-risk.html
marginalrevolution.com/marginalrevolution/2020/11/tuesday-assorted-links-289.html
marginalrevolution.com/marginalrevolution/2021/06/monday-assorted-links-311.html",marginalrevolution.com/marginalrevolution/2019/09/existential-risk-and-growth.html,,,
64,Byrne Hobart,Progress Studies Tranche,2019-11-20,marginalrevolution.com/marginalrevolution/2019/11/progress-studies-tranche-of-emergent-ventures.html,"Byrne Hobart, to write a book on technological progress with Tobias Huber.",Writing (Book),,"twitter.com/ByrneHobart
linkedin.com/in/byrnehobart/","Writer The Diff, a newsletter about inflections in finance and technology with 23,000+ subscribers.","marginalrevolution.com/marginalrevolution/2018/11/mr-sentences-ponder.html
marginalrevolution.com/marginalrevolution/2021/05/saturday-assorted-links-308.html",google.com/search?sxsrf=ACYBGNTgxe8jvt5tSrSOyIyk0Mz9T4A8Qg%3A1574209220402&source=hp&ei=xIbUXZvKFcGq5wKmjZG4Bg&q=hobart+byrne&oq=hobart+byrne&gs_l=psy-ab.3..0i22i30l9.392.2014..2310...0.0..0.152.1165.9j3....2..0....1..gws-wiz.......35i39j35i322i39j0i199i291j0i131j0j0i322i131j0i322i199i175j0i199i291i67j0i322j0i10i67j0i13j0i322i13j0i13i30j0i13i10i30.OX_HbdIi72k&ved=0ahUKEwibvIarwvflAhVB1VkKHaZGBGcQ4dUDCAg&uact=5,,,
65,Saloni Dattani and Sam Bowman,Progress Studies Tranche,2019-11-20,marginalrevolution.com/marginalrevolution/2019/11/progress-studies-tranche-of-emergent-ventures.html,"Saloni Dattani and ,Sam Bowman, to set up a website on progress and progress studies, possibly a progress-related podcast.",Writing (Online),,"twitter.com/salonium
twitter.com/s8mb","Saloni Dattani is a PhD student in psychiatric genetics at King's College London. Thinking & writing about science, researcher in Our World In Data, editor in Works in Progress.
Sam Bowman - director of Competition Policy at ICLE. Editor of worksinprogress.co and Senior Fellow at ASI.",marginalrevolution.com/marginalrevolution/2020/11/blog-and-substack-contest-winners.html,"google.com/search?sxsrf=ACYBGNR9LfhVY0ljfyPdt_BfALgwGT4T2w%3A1574209222968&ei=xobUXfnQOsjc5gLpgb-oBQ&q=saloni+dattani&oq=saloni+dattani&gs_l=psy-ab.3..0.39158.42769..43150...1.0..4.283.2465.17j7j1....2..0....1..gws-wiz.....10..35i39j0i22i30j35i362i39j35i322i362i39j35i322i39j0i322i273j0i67j0i322i67j0i131j0i322i199i175i67j0i273j0i199i291i273j0i199i291i131j0i322i199i175j0i199i291j0i322j0i20i263j0i10j0i22i10i30.Da98NfvIL_o&ved=0ahUKEwj5y6WswvflAhVIrlkKHenAD1UQ4dUDCAs&uact=5
twitter.com/s8mb?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor",,,
66,Sonja Trauss,6,2020-01-03,marginalrevolution.com/marginalrevolution/2020/01/emergent-ventures-sixth-cohort.html,"Sonja Trauss of YIMBY, assistance to publish Nicholas Barbon, A Defence of the Builder.",Writing (Book),,"linkedin.com/in/sonja-trauss-02002968 
twitter.com/SonjaTrauss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor ",,-,google.com/search?sxsrf=ACYBGNQBcY454nQNnDuUobU61_o7fwMSsw%3A1577371667347&source=hp&ei=E8gEXsD1EoKa_QamprXICQ&q=sonja+trauss&oq=sonja+trauss&gs_l=psy-ab.3..0l8j0i22i30l2.387.2022..2223...1.0..0.172.840.11j1......0....1..gws-wiz.......35i39j0i67j0i131j0i10j0i20i263.neeUWEix6nk&ved=0ahUKEwiAy6Kvx9PmAhUCTd8KHSZTDZkQ4dUDCAg&uact=5,,,
67,Parnian Barekatain,6,2020-01-03,marginalrevolution.com/marginalrevolution/2020/01/emergent-ventures-sixth-cohort.html,-,Career development,High school,linkedin.com/in/parnian-barekatain-178b79148,medium.com/@parnianbrk ,-,medium.com/@parnianbrk,,,
68,Anna Gát,6,2020-01-03,marginalrevolution.com/marginalrevolution/2020/01/emergent-ventures-sixth-cohort.html,"Anna Gát, for development as a public intellectual and also toward the idea and practice of spotting and mobilizing talent in others.",Career development,,"twitter.com/theannagat 
uk.linkedin.com/in/annagat ","Founder of interintellect
annagat.com/ 
Brussels (ex London)",marginalrevolution.com/marginalrevolution/2019/05/were-a-niche-we-just-didnt-know.html,"thepynchon.com/
twitter.com/TheAnnaGat",,,
69,M.B. Malabu,6,2020-01-03,marginalrevolution.com/marginalrevolution/2020/01/emergent-ventures-sixth-cohort.html,"M.B. Malabu, travel grant to come to the D.C. area for helping in setting up a market-oriented think tank in Nigeria.",Travel,,"twitter.com/mbmalabu?lang=ru
ng.linkedin.com/in/m-b-malabu-b1160451 ",Site - malabu.me/ ,-,twitter.com/mbmalabu?lang=en,,,
70,Eric James Wang and Jordan Fernando Alexander,6,2020-01-03,marginalrevolution.com/marginalrevolution/2020/01/emergent-ventures-sixth-cohort.html,"Eric James Wang and Jordan Fernando Alexander, a joint award for their work on the project Academia Mirmidón, to help find, mobilize, and market programming and tech talent in Mexico.",Non profit,,linkedin.com/in/jordanfalexander/ ,"1. University - Student
Department: Computer Science
Position: Graduate
profiles.stanford.edu/154308?releaseVersion=7.13.0 
2. Software Engineer, Anduril Industries",-,"mirmidon.io/home
profiles.stanford.edu/154308?releaseVersion=7.13.0
linkedin.com/in/jordanfalexander/",,,
71,"Gonzalo Schwarz, Archbridge Institute",6,2020-01-03,marginalrevolution.com/marginalrevolution/2020/01/emergent-ventures-sixth-cohort.html,"Gonzalo Schwarz, Archbridge Institute, for research and outreach work to improve policy through reforms in Uruguay and Brazil.",Research,,"linkedin.com/in/gonzalo-schwarz-77479117/ 
twitter.com/gonzaloschwarz ","Think tank entrepreneur of - archbridgeinstitute.org/
Washington, DC","marginalrevolution.com/marginalrevolution/2020/02/inequality-protest-sentences-to-ponder.html
marginalrevolution.com/marginalrevolution/2020/05/the-spanish-language-kindle-edition-of-stubborn-attachments.html
marginalrevolution.com/marginalrevolution/2018/10/assorted-monday-links-3.html","archbridgeinstitute.org/
linkedin.com/in/gonzalo-schwarz-77479117/",,,
72,Nolan Gray,6,2020-01-03,marginalrevolution.com/marginalrevolution/2020/01/emergent-ventures-sixth-cohort.html,"Nolan Gray, urban planner from NYC, to be in residence at Mercatus and write a book on YIMBY, Against Zoning.",Writing (Book),,"twitter.com/mnolangray
linkedin.com/in/nolan-gray-057a49ab/ ","Professional city planner - strongtowns.org/contributors-journal/2017/12/8/nolan-gray
Los Angeles",marginalrevolution.com/marginalrevolution/2019/07/zoning-out-shade.html,strongtowns.org/contributors-journal/2017/12/8/nolan-gray?gclid=Cj0KCQiA0ZHwBRCRARIsAK0Tr-o6-C4JfF5R3njPrAcRGktayZYiUL9HHj56reFiD5GWCe-1ipZ_H4YaAp_REALw_wcB,,,
73,Samarth Jajoo,6,2020-01-03,marginalrevolution.com/marginalrevolution/2020/01/emergent-ventures-sixth-cohort.html,"Samarth Jajoo, an Indian boy in high school, to assist his purchase of study materials for math, computer science, and tutoring.",Career development,,twitter.com/jajoosam,"Maker of fun side-projects and web-apps - sam.jajoo.fun/
Berkeley, CA",marginalrevolution.com/marginalrevolution/2020/04/emergent-ventures-india.html,"read.gift/
twitter.com/jajoosam",,,
74,Harshita Arora,6,2020-01-03,marginalrevolution.com/marginalrevolution/2020/01/emergent-ventures-sixth-cohort.html,"And EV winner Harshita Arora co-founded AtoB, a startup building a sustainable transportation network for intercity commuters using buses.",Startup,,"twitter.com/aroraharshita33 
linkedin.com/in/harshita-arora11/ ","San-Francisco, California
Co-founder of AtoB, a technology startup in the Bay Area building Stripe for Trucking
atob.com/ ","marginalrevolution.com/marginalrevolution/2020/04/emergent-ventures-india.html
marginalrevolution.com/marginalrevolution/2018/10/thursday-assorted-links-179.html","atob.com/
twitter.com/aroraharshita33",,,
75,Nicholas Whitaker,7,2020-03-01,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-seventh-cohort.html,"Nicholas Whitaker of Brown, general career development grant in the area of Progress Studies.",Career development,,twitter.com/ns_whit,"Editing - worksinprogress.co/ 
Manhattan, NY",-,twitter.com/ns_whit,,,
76,Coleman Hughes,7,2020-03-01,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-seventh-cohort.html,"Coleman Hughes, travel and career development grant.",Career development,,"twitter.com/coldxman
facebook.com/colemancruzhughes1/ ","Host of Conversations w/Coleman Podcast - colemanhughes.org/ 
Manhattan, NY","marginalrevolution.com/marginalrevolution/2018/11/coleman-hughes-reviews-stubborn-attachments.html
marginalrevolution.com/marginalrevolution/2020/04/monday-assorted-links-252.html
marginalrevolution.com/marginalrevolution/2020/01/monday-assorted-links-237.html",twitter.com/coldxman,,,
77,Michael T. Foster,7,2020-03-01,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-seventh-cohort.html,"Michael T. Foster, career development grant to study machine learning to predict which politicians will succeed and advance their careers.",Career development,,linkedin.com/in/michael-t-foster-faia-551820b,MTFA Architecture - mtfa.net/firm/people/michael-t-foster-faia-principal/  ,-,twitter.com/MTFanalytics,,,
78,Evan Horowitz,7,2020-03-01,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-seventh-cohort.html,"Evan Horowitz, to start the Center for State Policy Analysis at Tufts, to impose greater rationality on policy discussions at the state level.",Non profit,,linkedin.com/in/evan-horowitz-87b5bb50/,evanhorowitz.me/,marginalrevolution.com/marginalrevolution/2020/02/tufts-universitys-tisch-college-launches-center-for-state-policy-analysis.html,"marginalrevolution.com/marginalrevolution/2020/02/tufts-universitys-tisch-college-launches-center-for-state-policy-analysis.html
linkedin.com/in/evan-horowitz-87b5bb50/",,,
79,John Strider,7,2020-03-01,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-seventh-cohort.html,"John Strider, a Progress Studies grant on how to reinvent the integrated corporate research lab.",Research,,-,refoundable.com/,-,refoundable.com/,,,
80,Dryden Brown,7,2020-03-01,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-seventh-cohort.html,"Dryden Brown, to help build institutions and a financial center in Ghana, through his company Bluebook Cities.",Non profit,,"linkedin.com/in/dryden-brown-b977b159/
twitter.com/drydenwtbrown ","CEO praxissociety
drydenbrown.org/ ",-,linkedin.com/in/dryden-brown-b977b159/,,,
81,Adaobi Adibe,7,2020-03-01,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-seventh-cohort.html,"Adaobi Adibe, to restructure credentialing, and build infrastructure for a more meritocratic world, helping workers create property rights in the evaluation of their own talent.",Non profit,,twitter.com/adaobiadibe_,twitch.tv/adaobiadibe_,-,twitter.com/adaobiadibe_,,,
82,Shrirang Karandikar,7,2020-03-01,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-seventh-cohort.html,"Shrirang Karandikar, and here (corrected link), to support an Indian project to get the kits to measure and understand local pollution.",Non profit,,linkedin.com/in/shrirang-karandikar-17298a25/,shrirang.karandikar.org/,marginalrevolution.com/marginalrevolution/2020/04/emergent-ventures-india.html,linkedin.com/in/shrirang-karandikar-17298a25/,,,
83,Jassi Pannu,7,2020-03-01,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-seventh-cohort.html,"Jassi Pannu, medical student at Stanford, to study best policy responses to pandemics.",Research,,linkedin.com/in/jassipannu/,"Resident Physician at Stanford University School of Medicine
profiles.stanford.edu/jaspreet-pannu?tab=bio",marginalrevolution.com/marginalrevolution/2020/04/running-ahead-of-pandemics-achieving-in-advance-antiviral-drugs.html,linkedin.com/in/jassipannu/,,,
84,Vasco Queirós,7,2020-03-01,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-seventh-cohort.html,"Vasco Queirós, for his work on a Twitter browser app for superior threading and on-line communication.",Startup,,linkedin.com/in/vasco-queir%C3%B3s-0b466924/,"Co-Founder and CEO @ Threadhelper
threadhelper.com/",marginalrevolution.com/marginalrevolution/2020/10/threadhelper-a-new-method-for-improving-twitter.html,linkedin.com/in/vasco-queir%C3%B3s-0b466924/,,,
85,Eibhlin Lim,8,2020-03-31,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-eighth-cohort.html,"“I interview founders from different industries and around the globe and share their origin stories to inspire the next generation of founders to reach for their own dreams. I previously shared these stories in Phoenix Newsletters, an online newsletter that organically grew to serve more than 7000 high school and university student subscribers primarily from Malaysia. In July 2018, I decided to self-publish and distribute a book, ‘The Phoenix Perspective’, which contains some of the most loved stories from Phoenix Newsletters, after learning that some of our biggest fans did not have constant access to the Internet and went through great lengths to read the stories. With the help of founders and organizations, I managed to bring this book to these youths and also 1000+ other youths from 20+ countries around the globe. I hope to be able to continue interviewing founders and share their origin stories, on a new website, to reach even more future founders from around the world.”",Writing (Online),,"twitter.com/eibhlin_lim
linkedin.com/in/eibhlin-lim-51207b52/",Correspondant MALAYSIA SME,-,twitter.com/eibhlin_lim,,,
86,Carole Treston,8,2020-03-31,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-eighth-cohort.html,"To jump-start a Covid-19 program to produce cheap informational videos and distribute them to their nurse network for better information and greater safety, including for patients.",Non profit,,linkedin.com/in/cstreston/,pcori.org/people/carole-treston-rn-mph-acrn-faan,-,pcori.org/people/carole-treston-rn-mph-acrn-faan,,,
87,Kyle Redelinghuys,8,2020-03-31,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-eighth-cohort.html,"“Right now, the main sources of data for Coronavirus are CSV files and websites which make the data fairly inaccessible to work with for developers. By giving easy access to this data more products can be built and more information can be shared. The API I built is an easily accessible, single source of Coronavirus data to enable developers to build new products based on COVID19 data. These products could be mobile applications, web applications and graphed data…The API exposes this data in JSON which is the easiest data format to work with for web and mobile developers. This in turn allows for quick integration in to any products. The API is also completely free to users.”",Non profit,,"linkedin.com/in/kyle-redelinghuys-72074982/?originalSubdomain=uk
twitter.com/ksredelinghuys
github.com/ksred","ksred.com/

Head of Engineering at Dae.mn
Founder/CEO at BVNK
Recipient of Exceptional Talent Visa
Creator of COVID19API
Living in London",-,linkedin.com/in/kyle-redelinghuys-72074982/?originalSubdomain=uk,,,
88,Seyone Chithrananda,8,2020-03-31,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-eighth-cohort.html,"17 year old from Ontario, wishes to work in San Francisco, he does computational biology with possible application to Covid-19 as well, Twitter here. His Project De Novo uses molecular machine learning methods for novel small molecule discovery, and the grant will be used to scale up the cloud computing infrastructure and purchase chemical modelling software.",Career development,High school,"linkedin.com/in/seyone-chithrananda-a5974915b/
twitter.com/SeyoneC",Computational Chemistry + ML at Nurix Therapeutics | Research at UofT (Aspuru-Guzik Group) | Emergent Ventures Fellow | Incoming CS student at UC Berkeley,-,twitter.com/seyonec?lang=en,,,
89,"Joshua Broggi, Woolf University",8,2020-03-31,marginalrevolution.com/marginalrevolution/2020/03/emergent-ventures-winners-eighth-cohort.html,"To build an on-line university to bring learning programs to the entire world, including to businesses but by no means only. His background is in philosophy and German thought, and now he is seeking to change the world.",Non profit,,"linkedin.com/in/joshuabroggi/
twitter.com/joshuabroggi","Founder and CEO at Woolf 
crunchbase.com/person/joshua-broggi",-,"linkedin.com/in/joshuabroggi/
woolf.academia.edu/JoshuaBroggi


",,,
90,Mikko Packalen,9,2020-06-05,marginalrevolution.com/marginalrevolution/2020/06/new-emergent-ventures-winners-ninth-cohort.html,"Mikko Packalen, with co-authors, fellow in Progress Studies, Associate Professor of Economics, University of Waterloo, to improve science, in particular to study superior methods for improving systems of science citation.",Research,,twitter.com/MikkoPackalen?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,sites.google.com/site/mikkopackalen/,"marginalrevolution.com/marginalrevolution/2020/02/science-sentences-to-ponder-citations-vs-innovations.html
marginalrevolution.com/marginalrevolution/2018/08/nih-fund-edge-science.html",sites.google.com/site/mikkopackalen/,,,
91,Daniel Gallardo Albarrán,9,2020-06-05,marginalrevolution.com/marginalrevolution/2020/06/new-emergent-ventures-winners-ninth-cohort.html,"Daniel Gallardo Albarrán, post doc at Wageningen University, Netherlands, for historical research on European and other policy responses to plagues.",Research,,twitter.com/danielgalalb,danielgallardoalbarran.com/,-,danielgallardoalbarran.com/,,,
92,Anna Steingold,9,2020-06-05,marginalrevolution.com/marginalrevolution/2020/06/new-emergent-ventures-winners-ninth-cohort.html,"Anna Steingold, Barnard College, general career support and to investigate small business successes and failure in New York City.",Career development,,linkedin.com/in/anna-steingold-67526069/,Junior at Barnard College of Columbia University,-,-,,,
93,Fasih Zulfiqar,9,2020-06-05,marginalrevolution.com/marginalrevolution/2020/06/new-emergent-ventures-winners-ninth-cohort.html,"Fasih Zulfiqar, Karachi, Pakistan, home schooled and #1 economics student on the Pakistan national exam. For the study of economics in college and general career support.",Career development,,"twitter.com/zulfiqarfasih?lang=en
linkedin.com/in/fasihz/","Client Success Manager at Trademor, Alibaba | TCF | Emergent Ventures Winner | Writer | BS EM, IBA 24
pakonomist.wordpress.com/","marginalrevolution.com/marginalrevolution/2020/07/the-economics-of-fungi.html
marginalrevolution.com/marginalrevolution/2020/08/heterogeneities-is-the-more-infectious-strain-of-covid-19-spreading-to-asia.html",twitter.com/zulfiqarfasih?lang=en,,,
94,Dylan White,9,2020-06-05,marginalrevolution.com/marginalrevolution/2020/06/new-emergent-ventures-winners-ninth-cohort.html,"Dylan White, living in Dubai, philosophy and tutor background, to start a podcast on travel and tourism during pandemic times.",Podcast,,-,-,-,-,,,
95,Sarvasv Kulpati,9,2020-06-05,marginalrevolution.com/marginalrevolution/2020/06/new-emergent-ventures-winners-ninth-cohort.html,"Sarvasv Kulpati, Singapore, about to start UC Berkeley (if possible), interested in education and technology.",Career development,,"twitter.com/SarvasvKulpati?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
linkedin.com/in/sarvasvkulpati/","Student at UC Berkeley
Co-founder of Enlite.",-,twitter.com/SarvasvKulpati?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,
96,Bekhzod Khoshimov,9,2020-06-05,marginalrevolution.com/marginalrevolution/2020/06/new-emergent-ventures-winners-ninth-cohort.html,"Bekhzod Khoshimov, Ph.d. candidate at the University of Wisconsin, Madison, Wisconsin School of Business, for the study of entrepreneurship and to develop his podcast matters related to political economy and also Uzbekistan and Russia. Here is his interview with James Robinson.",Podcast,,linkedin.com/in/bekhzod-khoshimov-ab215462/,"Ph.d. candidate at the University of Wisconsin, Madison, Wisconsin School of Business, for the study of entrepreneurship and to develop his podcast matters related to political economy and also Uzbekistan and Russia. 
business.wisc.edu/directory/profile/bekhzod-khoshimov/",-,"youtube.com/watch?v=xx6cXZ38dkU
linkedin.com/in/bekhzod-khoshimov-ab215462/",,,
